,definition,downvotes,mnemonics,upvotes,word
1463,"['(verb) be behind; approve of', ""(verb) give support or one's approval to"", '(verb) guarantee as meeting a certain standard', '(verb) sign as evidence of legal transfer']","['3', '8', '6', '1', '1']","['en+dor+se—DOR( a string) SE hum kite fly karte hai, dor is used to SUPPORT the kite', 'pepsi ,coca colam,etc are the several endorsemnts that use advertismnts during the cricket matches that india plays', 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    jab en+dor(DOOR)+SE koi ae to use andar ane ka APPROVAL dete hain and madad (SUPPORT) karte hain.. hence the meaning', 'endorse(entering inside door=support)the endorsement of new law approve and support women rights.', 'Bollywood stars endorse several brands ie. they support and promote the brand..']","['4', '3', '1', '0', '0']",endorse
1464,['(verb) give qualities or abilities to'],"['21', '0', '5', '1', '10', '4', '0', '0', '0']","['DUE, a cold drink. Having a chilled DUE in summer empowers you. so Endue.', ""Endue - END+DUE - until you 'provide with quality', you are DUE till the END."", 'endue<->endow\r\nso we have to learn endow: endow=en+DOW(in hindi: to give), thus TO GiVE + some quality', 'EN+DUE, My payment is DUE if it comes I am powerful.', 'Looks Like Ensure...So if some one ensure about some thing ,it is os good quality....', 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    due <-> appropriate. Making something due to a person(Imagine some good position in office) is by givning him/her qualities', ""Endue-'due' if we r in due(money) to anyone..we return the due with some amount as interest.. i.e; provide wid some quality..."", 'if u enable the due then I will be powerful in money..', 'Whatever due he wants from us give him,i.e empowering him.']","['12', '11', '7', '3', '1', '1', '1', '0', '0']",endue
1465,"['(adj) unceasing', '(adj) patiently bearing continual wrongs or trouble']","['1', '1']","['Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    enduring - durable - means long-lasting.', 'en+DURING....so DURING your whole life time, you suffered from this problem.']","['8', '3']",enduring
1466,"['(verb) cause to be alert and energetic', '(verb) raise to a higher energy level']",[],[],[],energize
1467,"['(verb) weaken mentally or morally', '                (verb) disturb the composure of']","['2', '2', '3', '3', '2', '0', '2', '7', '1', '0', '1']","['ENERV(w)asTE whwn you waste you energy you become weak', 'break it as e + nerve(nerv) + ate... what happens when our pulse reduces; we WEAKEN.', 'can also be broken as ener(energy) + vate (wait)   when energy is waiting somewhere else....you have less energy left in yourself', 'enervate ~ evaporate', 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    E=emergency\r\nNervate=nerves\r\nRushing nerves to the ER is a sign something bad happened...like a stroke..potentially paralyzing , weakening.', 'Enervate: ener(ENERGY) + vate(evaporate) Ur energy is evaportaed, so u feel weak', 'ENERgy VAcaTEd', 'INNER WEIGHT- if your INNER WEIGHT is very high i.e. you are very fat then you get ENERVATED very soon.', 'assume that \r\nENER=ENERGY\r\nVATE=WAIT\r\n\r\nIf You wait for a long time we lose our energy and WEAKEN', 'ener(inner)+vate(weight) : if ur inner wt increases u feel weak....', 'enervate = energy is being (v) ate by sunlight so he is become weak.']","['105', '20', '7', '3', '2', '2', '2', '1', '0', '0', '0']",enervate
1468,"['(verb) grant freedom to; as from slavery or servitude', '(verb) grant voting rights']","['4', '0', '0', '0']","['en+franchise...a franchise is an official authority (to sell goods...or any other thngs)of a company.and every franchise boss has VOTING POWER in the company.origin-franch.means free, so freedom is nothing but voting power.', 'Historically the French revolution addressed citizenship then these ideas spread. Look to FRANCH and remember the French citizenship and rights.', 'if ur franchise of a company u have right to VOTE for its policies.freedom to vote being a franchise', ""Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    in IPL auctions respective team franchise's vote for a player with their bidding amount.. no other person has right to vote in this auction..""]","['7', '3', '3', '0']",enfranchise
1469,"['(verb) carry out or participate in an activity; be involved in', ""(verb) consume all of one's attention or time"", '(verb) engage or hire for work', '(verb) ask to represent; of legal counsel', '(verb) give to in marriage', '(verb) get caught', '(verb) carry on (wars, battles, or campaigns)', '(verb) hire for work or assistance', '(verb) engage for service under a term of contract', '(verb) keep engaged']","['0', '3', '0']","['Remember engagement�\xa0attract-> pledge->hire->confront a girl.', ""Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    The girl you HIRED as your PA is very CHARMING and ATTRACTIVE and hence you've decided to COMMIT to her by PLEDGING to be her husband  at an ENGAGEMENT function."", 'remind engagement,what qualities u want in ur partner CHARMING ATTRACTIVE AND FULL OF VIGOR.']","['3', '1', '0']",engage
1470,"['(adj) having ones attention or mind or energy engaged', '(adj) involved in military hostilities', '(adj) reserved in advance', ""(adj) (of facilities such as telephones or lavatories) unavailable for use by anyone else or indicating unavailability; (`engaged' is a British term for a busy telephone line)"", '(adj) (used of toothed parts or gears) interlocked and interacting', '(adj) having services contracted for', '(adj) built against or attached to a wall']",[],[],[],engaged
1471,['(adj) attracting or delighting'],"['2', '0', '0']","['I have an engagement with an engaging girl tomorrow.', 'eng (young) age ing... that young age girls attract boys...', 'Girls Engage(attract) boys by their Engaging(charming,attractive) looks']","['2', '2', '1']",engaging
1472,"['(verb) call forth', '(verb) make children']","['2', '4', '2', '1', '1', '0']","[""when two gender's male & female end up together .. they produce or give rise to a CHILD.."", 'When genders get together they cause, produce, and give rise to children.', 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    engender ~ gene ~ make offspring', 'If a species is ENDANGERED it needs to ENGENDER a new child.', 'engender also means bringing into being.so,thats opposite of endanger  where species will be on the verge of extinct', 'when 2 gender combine dey give rise to a new gender(boy or a girl)']","['152', '29', '6', '3', '3', '0']",engender
1473,"['(verb) devote (oneself) fully to', ""(verb) consume all of one's attention or time""]","['5', '7', '1', '1']","['pick the word gross - grass\r\ngarden is fill with grass.', 'IN GRASS...when  a couple is doing sex in the lawns of a garden they will engross people....', 'ENGROSS= IN-GROWTH.embryonic staff are always engaged with the growth stage', 'to purna pane grassun gelaya']","['8', '5', '1', '0']",engross
1474,"['(verb) devote (oneself) fully to', '(verb) flow over or cover completely']","['2', '0', '0', '0', '0']","['en+gulf(gulp)..so how much do you gulp or swallow in a day....??', 'gulf has swallowed such quantities of petrol that other countries from outside are relying on it', 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    Golf courses swallows huge area of cultivable land.', 'gulf is swallowed by south indian people. You can see south indian people everywhere. Just to remember the word', 'ENGLUF sounds lyk aloof,jab hum log aloof(lonely) hote hai tab engrossed or absorbed hokar kam karte hai']","['4', '1', '1', '0', '0']",engulf
1475,"['(verb) increase', '(verb) make better or more attractive']",['2'],['when you are given a chance you try to improve more... that is ENHANCE'],['0'],enhance
1476,"['(noun) something that baffles understanding and cannot be explained', '(noun) a difficult problem']","['13', '5', '3', '4', '2', '0', '0', '11', '0']","[""e(nigma)\r\nConsider the word in brackets. \r\nNigma sounds Nagma.nagma's affair is always a mystry and puzzle."", '', 'enigma—enigma songs are difficult to understand', 'enigma songs are enigmatic', 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    enigma sounds like stigma which is a part of flower\r\npart of flower always hard to understand\r\nJAI SHRI RAM', 'Think of a mysterious fairy godmother hidden inside a pig.  IN PIG MA.', 'Enigma...EGG ? REMEMBER EGG..An example of an enigma is the question “Which came first, the chicken or the egg?�\x9d', 'enigma..souds like engine....and before JAMES WAT DISCOVERED STEAM ENGINE...THE WORD ENGINE was a puzzle and MYSTERY FOR PEOPLE.', 'enigma=nigger+maa\r\nnigger maa cant explain who the father is as they have many partners before marriage.']","['34', '11', '3', '2', '2', '2', '2', '0', '0']",enigma
1477,"['(verb) issue an injunction', '                (verb) give instructions to or direct somebody to do something with authority']","['10', '4', '4', '6', '0', '2', '0', '0']","['EN(means to become) + join...you command and order people to join and become members of your group.', 'Some of us were ORDERED or COMMANDED to JOIN the armed forces, while some others were FORBIDDEN to do so.', 'enjoin = enjoy + not...follow the order', ""its sounds like enjoying?? u'll say no if u r ordered to do something"", 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    : ENJOIN = EN(in)+JOIN(joining order). In joining order it was enjoined(ordered) to wear UNIFORM and enjoined(forbidden) from wearing sports shoes.', 'Enjoying???? Ohh th""en""-""join"" the office right away...its an order..:P', ""en-join=='N'-join if u join the ends of letter N it becomes O-for order"", 'come join...']","['30', '12', '6', '3', '1', '1', '1', '0']",enjoin
1478,"['(verb) join the military', '                (verb) hire for work or assistance', '(verb) engage somebody to enter the army']",[],[],[],enlist
1479,"['(verb) heighten or intensify', '(verb) make lively']",['1'],['Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    en(means to become or to make)+liven..(live)..so to make something lively.'],['2'],enliven
1480,"['(noun) a state of deep-seated ill-will', '(noun) the feeling of a hostile person']","['0', '1']","['enmi+(T)+y...just focus on the letters enmiy..very close to the word enemy...and enemies always have an ILLWILL AND HATRED FOR YOU.', 'enimy.... ill will towards ur enemy']","['12', '0']",enmity
1481,['(noun) the feeling of being bored by something tedious'],"['18', '10', '6', '2', '2', '6', '1', '0', '0', '0']","['Actually the previous mnemonic is better...ennui sounds like YEH NAHEEEE!!!!', 'ennui...when pronounced sounds quite similar to ANNOYed....now think of a person who is always annoyed with everything......such a person could be very BORING and irritating for you.', 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    ennui=en(anything)+nui(new) which can be said as \'anything new?? I am filled with ""boredom"" with the same old stuff\'', 'its sounds/written like ""nini aayi"" which means feeling sleeping in Hindi. You feel sleepy when u r bored.', '""Whee"" is for when you are excited. Ennui (pronounced on-whee) is when you are bored.', 'sounds like ""on we"" so, \'on we go to find something to do\'', 'ennui sound like a new ... .i.e i got bore by  the old one', 'sound like anew so when we get bore  we want new', 'ennui= en (enable) + nui (new); Due to fade up from past.', 'e(ayee)nnui(nahi)if someone is  boared then he exclaimed aee nahi an']","['42', '35', '31', '3', '2', '0', '0', '0', '0', '0']",ennui
1482,"['(noun) the quality of being outrageous', '(noun) vastness of size or extent', '(noun) the quality of extreme wickedness', '                (noun) an act of extreme wickedness']","['3', '1', '0']","['ENORMITY resembles enormous, which means huge', 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    enormity', 'eNORMity:a person who doesnt follow norms']","['10', '2', '1']",enormity
1483,['(verb) hold spellbound'],"['3', '16', '0', '0', '0', '0']","['think of rap music which is good to hear.', 'How cruel rapist was who took PLEASURE out of this heinous crime.', 'kya rapachik khana hain', 'rapture means joy,so imagine that someone is pleasing you to bring joy', 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    enraptured - N - RAPTOR (the dinausor in Jurassic Park) - If N live rapotors affront a dino-scientist.. then he will be spellbound, unlike the rest of us who would be scared', 'Enrapture- In rap tour-> great delight']","['38', '4', '1', '1', '1', '0']",enrapture
1484,['(verb) fix firmly'],"['13', '23', '16', '10', '6', '7', '4', '0', '5', '6']","[""ensconce sounds something like iskon (lord krishna's temple which is a peaceful place..hence can settle comfortably   ... (feel like staying their only and settle down in such peaceful place..)"", 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    a child gets his ice cream CONe which makes him settle down comfortably.', 'en- ""make, put in"" + sconce ""small fortification, shelter,""', ""Ensconce - en (IN) sconce (SECONDS) when return home, IN SECONDS you can 'settle down comfortably'."", 'ENSCONCE : contains the word CONC which is a short form of CONCENTRATE..so when  you concentrate you fix yourself very firmly, so it can be used as an hint', 'sound like CONE...if you put the cone upside down on the floor..it remains stable and settles comfortably.', 'EN(In) Science quizzes you have to settle yourself comfortably, safely, secretly....', 'ENSCONCE= EStablish+wisCONSIN. I EStablish in WISCONSIN as it is COMFORTABLE AND SAFE PLACE.', '', 'Ensconce  Ens(Ans) + Once hence boy says to gf Ans me Once do you love me and l will not move from here till you say yes']","['71', '51', '8', '3', '3', '3', '2', '2', '1', '0']",ensconce
1485,"['(verb) issue or terminate (in a specified way, state, etc.); end']","['0', '12', '0', '0', '4', '1', '1', '0', '0', '0']","['After u sue the person in the court, the case will ensue.', 'ensue..sounds like ensure.....and you ensure your friends that HARD WORK IS ALWAYS FOLLOWED BY GOOD RESULT.....', 'Pursue means follow.', ""end of issue;so there'll b a result"", 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    AS A CONSEQUENCE,it RESULTED IN(EN) SU(e)ing the govt.', 'when u sue a person u get the result from the court', 'pani pine ke baad su su is the consquence result', ""He PURSUED SUE INto the woman's bathroom."", 'sue(resembles a suit filed in a court which results in altercation)', 'if u want to ensue=ensure something u should follow rules']","['20', '10', '4', '3', '1', '1', '1', '1', '0', '0']",ensue
1486,"['(noun) land received by fee tail', '                (noun) the act of entailing property; the creation of a fee tail from a fee simple', '                (verb) have as a logical consequence', '(verb) impose, involve, or imply as a necessary accompaniment or result', '(verb) limit the inheritance of property to a specific class of heirs']","['1', '7', '1', '2', '2', '1']","['Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    ""tail"" is a necessary thing for all animal...so necessary', 'en(become) +tail...becoming a tail to someone means acting like a    toady....which some ppl do coz its necessary for their promotion', 'TAIL is NECESSARY for the bird to change direction in air...ENTAIL means NECESSITATE/ REQUIRE', 'entail means:to involve sth that cannot be avoided...entail sounds like INTEL so one has to involve intel if he is making a computer.', 'just like a tail is necessary for  almost every mammal so it is needed and necessary', 'Entail-> Enabling retail in selling goods is unavoidable.']","['18', '4', '2', '1', '0', '0']",entail
1487,"['(noun) a purposeful or industrious undertaking (especially one that requires effort or boldness)', '(noun) an organization created for business ventures', '(noun) readiness to embark on bold new ventures']",['0'],['Think of Microsoft office Enterprise. It is a very important and difficult project'],['1'],enterprise
1488,"['(adj) marked by imagination, initiative, and readiness to undertake new projects']",['0'],['enterprise dukan kholane ke liye brave aur full of initiative hona chahiye.. risk to hoti hi hain'],['1'],enterprising
1489,['(verb) hold spellbound'],"['3', '13', '1', '1', '6', '0']","['Enthrall(sounds like Enter Hall)\r\nWhen you entered your most liked hall then you got enraptured.', 'en+thrall(very close to word thrill......)and you are thrilled by seeing this enthralling jump in sea.........', 'enthrall = Throw in a hall.. \r\n\r\nthat is when you capture someone you throw them in a hall', 'enthiran sounds like enthrall the movie was fascinating and  grabbed the attention of all', 'The heart-throb girl of your campus can easily enthrall you.', 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    it\'s written like ""troll"" from fantasy books... and they are (sometimes) also created by spells, of stone, whatever.']","['16', '14', '4', '2', '1', '0']",enthrall
1490,['(verb) provoke someone to do something through (often false or exaggerated) promises or persuasion'],"['4', '1', '3', '0']","['Everyone got so  ATTRACTED to the ENTICEr bike that they were TEMPTED to buy it..', 'Rhymes with MICE.A bait is used to entice a MICE', 'ENforce To task..', 'entice:Enter the extra fish into neighbour freeze ice by entice']","['31', '6', '1', '0']",entice
1491,['(noun) that which is perceived or known or inferred to have its own distinct existence (living or nonliving)'],[],[],[],entity
1492,['(noun) the branch of zoology that studies insects'],"['0', '0']","['ent(sounds like ant...and ants come under insects)+ logy(means study)..so studying about insects.', 'entomology(entomos=insect,logus=study) ,so entomology is the study of insects.']","['24', '1']",entomology
1493,['(noun) the group following and attending to some important person'],"['1', '1', '0']","['enTOURage , at this age if you go on a tour, you need to go in a group.', 'when u enter+our(youth)+age u need to be careful so u need bodyguard or escort... hence the meaning', 'to plan foreign TOUR you need the group of adviser,assistant  i.e retinue']","['21', '1', '0']",entourage
1494,"['(noun) something that provides access (to get in or get out)', '(noun) a movement into or inward', '(noun) the act of entering', '(verb) attract; cause to be enamored', '(verb) put into a trance']","['2', '2', '0', '0', '0']","['EN + TRANCE - IN A TRANCE - hypnotised, held spellbound.', 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    When u saw Beautiful Girls in the ENTERANCE of the hall "" U R SPELL BOUNDED""...', ""GRE an 'Entrance' exam. for pursuing higher studies from abroad, vocab learning is now getting 'fascinated/attractive' using mnemonics."", 'in the trance (transcendental) abode of krishna', 'Try to Combine these two words to form ""Entrance"":\'Entice\'(lure,attract)+\'Fragrance\'->I was \'enticed\' by the heavenly smell of her \'fragrance\' at the entrance']","['15', '12', '5', '0', '0']",entrance
1495,['(verb) ask for or request earnestly'],"['2', '0', '0', '0']","['asking your friend to give a treat  for getting a job ...', 'many a times,we have\r\nto plead before the person for getting a\r\ntreat', 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    sometime we need to ""plead"" to the doctor for ""treat""ment', 'when u want to get entry u entreat earnestly.']","['50', '12', '4', '0']",entreat
1496,['(noun) someone who organizes a business venture and assumes the risk for it'],['1'],['Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    entrepreneurs'],['0'],entrepreneur
1497,"['(verb) specify individually', '(verb) determine the number or amount of']","['0', '1', '0']","['ENUMERATE; NUMBER + IT means COUNT', 'in enumerate we have numerate like numeral which is a number so we make a list of one thing after the other in points or numbers', 'in programming we ENUMERATE THE DB RECORDS so that it can be read ONE BY ONE']","['7', '1', '1']",enumerate
1498,"['(verb) speak, pronounce, or utter in a certain way', '(verb) express or state clearly']","['4', '2', '10', '5', '3']","['e+nun+ciate....sounds like A NUN CITEd....something she proclaimed about the church rules and regulations...and that is what the word means....citing means announcing something to be true..or proclaiming something.', 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    ENUNCIATION means GOOD PRONUNCIATION..:)', 'same idea..\r\n""A NUN SHE ATE""..u enunciated so clearly dat ""A NUN ate smth""', 'rhymes with communicate..which is nothing put to speak or utter..', 'Saw virgin territory? Hero screwed the nuns and he could speak.']","['23', '18', '6', '2', '1']",enunciate
1499,['(verb) extend on all sides of simultaneously; encircle'],"['2', '0', '3']","['environ..resembles enviroment...and our enviroment is SURROUNDED BY MANY GASES.', 'putting barb enVIRE(WIRE) ON, that can ENCLOSE & SURROUND ur land', 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    EN (TO become)+VIRION..(VIRUS)....A virus becoming attched  to  a cell via its receptars and then it surround the cell and degrade it.']","['12', '3', '1']",environ
1500,"['(noun) anything short-lived, as an insect that lives only for a day in its winged form', '(adj) lasting a very short time']","['13', '7', '16', '19', '1', '5', '1', '1', '0']","['Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    sounds like e-funeral. Electric funeral is SHORT', ""'fermi' is a very small secientific unit [10 ^(-15)]\r\n\r\nSo think of fremi second with ephemeral (e-phermi-real)"", 'elephant+marela hai..he lived short! :|', 'sounds similar to epidural, which would make giving birth go by much quicker', 'epHEMeral contains the word HEMI, which means half. (It takes half or a shorter time)', 'apheme (which is a drug) ka nasha bahut hi ephemeral hota hai', 'ephemeral sounds like effervescence...which is momentary bubbling of a gas', 'PERENNIAL-lasting for a long time....perennial rivers which carry water round the year..EPHEMERAL rivers..which carry water for a short period', 'ephemeral = if(ep) he murder( mer) all, if the the cat is able to murder the rates then rats life will be short span.']","['63', '27', '10', '2', '2', '1', '1', '0', '0']",ephemeral
1501,"[""(noun) a long narrative poem telling of a hero's deeds"", '(adj) very imposing or impressive; surpassing the ordinary (especially in size or scale)', '(adj) constituting or having to do with or suggestive of a literary epic']",['0'],['Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    epic(E+PIC)excellent pics are described in novel and heroic poems'],['1'],epic
1502,['(noun) a person devoted to refined sensuous enjoyment (especially good food and drink)'],"['5', '10', '2', '6', '5', '0', '0']","['EPIC-CURRY...one who can write an EPIC on CURRY has to be a CONNOISSEUR OF FOOD..', 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    epicure - appy (a soft drink made from\r\napple)+ cure.....imagine,a food lover is cured by drinking\r\nAppy.', 'an epicure.. should take a pedicure.. as he doesnt want dirt from his nails to fall in his dishes.. :D (ya..i kno//..its stupid..)', 'Epic + Curry.  The lover of food called the curry epic.', 'PEDICURE--->>CARING OF YOUR FEEET\r\n\r\nEPICURE---->>CARING OF YOUR STOMACH', 'epicure(E+P+I+Care)the Emergent Personal Incharge Cares his boss meal because he is refined in taste', 'epicure = e + pi + cure;pi means get cure from disease if you take food & drink properly.']","['77', '9', '4', '3', '1', '0', '0']",epicure
1503,"['(noun) a person devoted to refined sensuous enjoyment (especially good food and drink)', '(adj) of Epicurus or epicureanism', '(adj) devoted to pleasure', '(adj) displaying luxury and furnishing gratification to the senses']","['2', '9', '1']","['EUROPEANS live luxurious life.....they dont give a shit to people who suffer.....so they are EPICUREAN', 'Link it to the word epicure which means the same.', 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    APPLE CURE']","['7', '1', '1']",epicurean
1504,['(noun) a witty saying'],"['4', '12', '3', '12', '2', '1', '2', '1']","['telegram-->simple note....epigram--->witty note', 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    A PIG RAN....""be courageous..don run away like a pig"" dats an epigram', 'epig+ram—epig+ram—in the EPIC ramayan, RAM used to say WISE and WITTY things', 'What is an epigram? A dwarfish whole, its body brevity, and wit its soul.\r\n    Samuel Taylor Coleridge', 'Epic+gram(short)....hence epigram is a short witty poem, maxim.....', 'EPIC GRAM = an EPIC is something phenomenal, but a GRAM is a small unit of measure or a mode of communication such as a telegram made brief by the word GRAM. Thus we have a phenomenal statement of few words.', 'have u heard song 100 gram zinjdagi of movie guzarish,its like a poem which expresses the idea of life.', 'epigram  = gram of a epic is always a short saying.']","['61', '10', '7', '2', '2', '1', '0', '0']",epigram
1505,"['(noun) a short speech (often in verse) addressed directly to the audience by an actor at the end of a play', '(noun) a short passage added at the end of a literary work']",['2'],['Epilogue = Dialogue (at the end of a play/drama)'],['24'],epilogue
1506,"['(adj) of writing or narration; divided into or composed of episodes', '(adj) occurring or appearing at usually irregular intervals', '(adj) limited in duration to a single episode']",['0'],['episode+ic...we watch the serial saas bhi kabhi bahu thi in episodes from mon to thur and not daily..so we are watching it in seperate parts WHICH  HARDLY CONNECT TO OUR BRAINS .....lolzzz hence episodic-loosely connected'],['29'],episodic
1507,['(noun) a specialist in epistemology'],"['2', '5', '0']","['epistemologist:-concentrate on stem .if you want to reach the stem of any thing you should have knowledge', 'epistemologist:-concentrate on stem .if you want to reach the stem of any thing you should have knowledge ,sorry i cheated', 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    epistemologist = having significant knowledge in stem.']","['8', '0', '0']",epistemologist
1508,"['(noun) an inscription on a tombstone or monument in memory of the person buried there', '                (noun) a summary statement of commemoration for a dead person']","['3', '3', '17', '0', '0', '0']","[""a person writing on the tomb of his father - 'e pitah'"", 'a(e) pit up(aph) \r\nabove the pit of burried', 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    Remember Tajmahal built by Shahajahan in memory of his beloved wife', 'u will find an epitaph on a cenotaph (a monument/tomb of a person whose remains are located elsewhere)', 'Dont Pi(drink in hindi) tap water.. or ull soon have an epitaph of ur name.. :D', 'Epitaph of a person....who generally drank(PI) water from the TAP directly']","['90', '4', '1', '1', '1', '0']",epitaph
1509,"['(noun) a defamatory or abusive word or phrase', '(noun) descriptive word or phrase']","['7', '10', '1', '1', '1', '5', '6', '3', '0']","[""Concentrate on the latter part of the word, epiTHET (Threat): If someone threatens you, he's going to use abusive words."", 'epithet = a + pithet -> a pathetic\r\n(person)...pathetic is an\r\nadjective.', 'E+PIT+HET~>A PET name that HURTS...', 'api+thittu (telugu)\r\nIF a singer is bad, you api (to stop) and then tittu (scold). you give him an epiteth.', 'Concentrate on the word PIT and gives a meaning defamatory.', 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    A pathetic person hurls insults at others rather than speaks his truth.', 'E-PIT(beat)-THAT- that person was pita gaya(beat) and abused too.', 'Epi(appy)+thet(theft) - Appy ko theft karne par abusive word', 'Epithet']","['19', '13', '8', '2', '1', '0', '0', '0', '0']",epithet
1510,"['(noun) a standard or typical example', '(noun) a brief abstract (as of an article or book)']","['0', '10', '6', '2', '0', '1', '0', '4', '0']","['Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    Epi(EPIC)+tome(TOMB)...there is a EPIC about the TOMB of Mumtaz Mahal (TAJ MAHAL) that it takes nearly 200 years to complete  that’s why it’s A PERFECT EXAMPLE of MUGHAL ARCHITECTURE', 'epitome,at d end it sounds like TOM-remember tom n jerry r d ""perfect example"" of EPIc.', 'e+pi+tome:\r\ntome is a book, mathematical pi is concise.\r\nSo epitome = a concise prologue or epilogue of the book.\r\nAlso means example', 'epi+tomb(tome)...qutubshahi tombs contain dead bodies of emperors therefore these bodies are EMBODIED into them and these tombs are still in a perfect condition hence they ARE A PERFECT EXAMPLE', 'a happy home is a perfect example for everyone of living life blissfully.', ""EPITOME: E+PIT+OME, Don't fall in pit by not doing home work like Rahul(Example)"", 'A BIT OF ME - epitome: a standard or typical example', ""e(he)+ pito(marna) + me(mujhe).. so usne mujhe mara, it is a 'perfect example' that he is a gunda!"", 'epitome=optimum\r\noptimum designs are always epitome']","['17', '8', '3', '2', '2', '1', '1', '0', '0']",epitome
1511,"['(noun) a period marked by distinctive character or reckoned from a fixed point or event', '(noun) (astronomy) an arbitrarily fixed date that is the point in time relative to which information (as coordinates of a celestial body) is recorded', '(noun) a unit of geological time that is a subdivision of a period and is itself divided into ages']","['11', '0', '6', '4', '3', '2']","[""epics are based on epoch's"", 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    ye pouch(mobile pouch)-it can be used for certain period of time....', 'e(a) + poch(porche car) is so expensive it takes a epoch of time just to make and deliver one!', 'e+poch : pocha (cleaning) it will tak time for the pocha (cleaning the room)', ""Birth of Muhammad was major EPOCH in PAK's History"", ""The Epoch Times-Its a chinese newspaper\r\n\r\nRemember time...then you'll get to 'period of time'""]","['14', '7', '7', '2', '0', '0']",epoch
1512,"['(adj) not varying', '(adj) not easily irritated']","['1', '0']","['Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    Equable rhymes like Equally stable, any one who is equally stable is not easily irritated.', 'ABLE to take EQUALLY either good or bad']","['25', '4']",equable
1513,['(noun) steadiness of mind under stress'],"['1', '1', '1', '0', '1', '0']","['EQUAL+ENEMY(ity) Seeeing enemy as a friend i.e., with CALMNESS OF TEMPERAMENT.', 'equal mind', 'When meditating, you find equanimity when you find your EQUILIBRIUM.', 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    equanimity', 'equi + animity >> when one thinks about other creatures as equal to himself, he or she has a great composure of mind and is calm and thoughtful about others..', 'equanimity=equal+enmity; when u see your ENEMY u get angry; so it is necessary for u to maintain EQUAL temper and calmness if you are in public to avoid any outroar']","['4', '3', '3', '1', '1', '0']",equanimity
1514,"['(noun) a man skilled in equitation', '(adj) of or relating to or composed of knights', '                (adj) of or relating to or featuring horseback riding']","['0', '4', '0', '0']","['pedestrian --> a person who travels by foot...\r\nEquestrian --> a person who travels on an equine(horse)(relating to the family equidae)', 'Horseback riders like to go on quests through the woods.', 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    e+quest+rian(ryan)....ryan was a boy who questes for knowledge therfore in order to explore the forests he went on a HORSE RIDE', 'equal to train in speed as then horse ride']","['26', '18', '2', '1']",equestrian
1515,"['(noun) a stable situation in which forces cancel one another', '                (noun) a chemical reaction and its reverse proceed at equal rates', '(noun) equality of distribution', '(noun) a sensory system located in structures of the inner ear that registers the orientation of the head']",[],[],[],equilibrium
1516,"['(noun) hoofed mammals having slender legs and a flat coat with a narrow mane along the back of the neck', '(adj) resembling a horse', '                (adj) of or belonging to the family Equidae']","['4', '1', '0']","['Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    feline-catlike\r\n\r\nvulpine-foxlike not wolf\r\n\r\nlupine-wolflike not lion\r\n\r\nleonine-lionlike\r\n\r\nbovine-cowlike\r\n\r\nequine-horselike', 'queen sitting on a horse', 'canine...Doglike']","['13', '7', '0']",equine
